Year,Month,Day,Average of 5 cm,Average of 10 cm,Average of 20 cm,Average of 30 cm,Average of 40 cm,Average of 50 cm,Average of 60 cm,Average of 80 cm,Average of 100 cm,Average of 125 cm,Average of 150 cm,Average of 175 cm,Average of 200 cm,Average of 225 cm
2014,10,20,8.805083333,9.257541667,9.792916667,10.24458333,10.615,10.89916667,11.17541667,11.53208333,11.73833333,11.8225,11.79041667,11.62375,11.40458333,11.08875
2014,10,21,10.07491667,9.9655,10.06958333,10.31083333,10.58041667,10.81583333,11.06458333,11.39333333,11.60791667,11.71083333,11.69625,11.545,11.33625,11.02833333
2014,10,22,11.64458333,11.20833333,10.78458333,10.64625,10.69791667,10.82375,11.0075,11.28,11.49291667,11.60541667,11.60375,11.47291667,11.27583333,10.9725
2014,10,23,10.60966667,10.77958333,10.83041667,10.8375,10.8775,10.94458333,11.06375,11.26833333,11.45833333,11.56958333,11.57,11.44041667,11.2575,10.97583333
2014,10,24,11.403875,11.22833333,10.98875,10.91916667,10.94833333,11.00375,11.1,11.24416667,11.395,11.49166667,11.49541667,11.37625,11.21125,10.94041667
2014,10,25,8.835208333,9.79025,10.54708333,10.84875,10.97583333,11.03916667,11.12208333,11.26666667,11.38958333,11.46541667,11.46791667,11.34916667,11.20625,10.94458333
2014,10,26,8.511625,8.805666667,9.590416667,10.23666667,10.65958333,10.89541667,11.06791667,11.23541667,11.34958333,11.41375,11.41458333,11.30791667,11.14958333,10.905
2014,10,27,7.693125,8.527,9.43375,9.987916667,10.37458333,10.63375,10.85958333,11.1325,11.2675,11.32458333,11.32166667,11.22041667,11.09666667,10.84416667
2014,10,28,6.095333333,7.360791667,8.78625,9.59875,10.1125,10.42958333,10.69625,11.04625,11.22458333,11.30125,11.30583333,11.20833333,11.07541667,10.83541667
2014,10,29,6.072625,6.874958333,8.099958333,9.032083333,9.713333333,10.1475,10.50458333,10.94166667,11.15958333,11.26333333,11.27,11.17458333,11.06041667,10.82541667
2014,10,30,5.076291667,6.482541667,7.929916667,8.8,9.426666667,9.859583333,10.25291667,10.785,11.05875,11.19375,11.21875,11.13541667,11.02166667,10.79166667
2014,10,31,1.181,3.383333333,6.11525,7.817875,8.9,9.536666667,10.03375,10.68875,11.02083333,11.19583333,11.23375,11.14583333,11.0425,10.83583333
2014,11,1,3.153125,4.139666667,5.793083333,7.176625,8.269166667,9.030833333,9.669583333,10.45208333,10.85833333,11.0825,11.15375,11.08958333,10.98291667,10.78166667
2014,11,2,5.667,5.79425,6.378916667,7.185458333,7.999166667,8.6775,9.320833333,10.17041667,10.66916667,10.96291667,11.06958333,11.02833333,10.92708333,10.73166667
2014,11,3,6.666875,6.784708333,7.104208333,7.548708333,8.064375,8.56125,9.097916667,9.91375,10.46,10.82083333,10.96708333,10.94916667,10.87541667,10.68583333
2014,11,4,4.440583333,5.696708333,6.934875,7.628875,8.14625,8.557083333,9.00125,9.75625,10.29125,10.69166667,10.8725,10.88,10.84125,10.65583333
2014,11,5,3.267375,4.38775,6.00525,7.116083333,7.898458333,8.43,8.91,9.656666667,10.17458333,10.59416667,10.80666667,10.84375,10.80166667,10.64125
2014,11,6,3.233,4.187666667,5.623416667,6.710458333,7.578208333,8.194166667,8.75,9.555,10.09125,10.51416667,10.7475,10.79208333,10.79375,10.64916667
2014,11,7,4.398041667,4.830125,5.754458333,6.60275,7.357208333,7.945125,8.510833333,9.337083333,9.905416667,10.35375,10.61333333,10.69583333,10.69708333,10.56291667
2014,11,8,3.572375,4.449208333,5.698833333,6.574083333,7.285958333,7.833708333,8.380833333,9.217083333,9.819166667,10.29416667,10.57583333,10.67458333,10.67875,10.5575
2014,11,9,2.003666667,3.408958333,5.165583333,6.281041667,7.090958333,7.665166667,8.215,9.087916667,9.687083333,10.185,10.48708333,10.60791667,10.63208333,10.52541667
2014,11,10,-0.086416667,1.665916667,4.034083333,5.581625,6.65675,7.368791667,7.989958333,8.935416667,9.552916667,10.06958333,10.38666667,10.52916667,10.57666667,10.48625
2014,11,11,-1.588791667,0.198291667,2.860375,4.704333333,6.024375,6.912166667,7.666166667,8.752916667,9.420416667,9.961666667,10.30041667,10.45541667,10.52458333,10.44625
2014,11,12,-1.87775,-0.5075,2.046,3.951333333,5.387916667,6.393875,7.267375,8.505,9.259583333,9.8475,10.20666667,10.37958333,10.47416667,10.41458333
2014,11,13,-1.697958333,-0.467375,1.775041667,3.50875,4.898958333,5.929291667,6.871416667,8.255416667,9.105833333,9.7625,10.15916667,10.35291667,10.43833333,10.39458333
2014,11,14,-2.851875,-1.404416667,1.131625,3.017416667,4.466375,5.527625,6.499333333,7.980083333,8.90875,9.639583333,10.07125,10.28541667,10.39583333,10.37291667
2014,11,15,-3.20725,-1.87675,0.590916667,2.508875,4.004375,5.108708333,6.119625,7.66025,8.649166667,9.446666667,9.927916667,10.17416667,10.31833333,10.30666667
2014,11,16,-4.324791667,-2.819125,-0.110916667,1.956333333,3.533166667,4.682583333,5.733958333,7.344791667,8.394166667,9.2525,9.784166667,10.06666667,10.24208333,10.24375
2014,11,17,-4.922041667,-3.463583333,-0.793375,1.344333333,3.012083333,4.238333333,5.355125,7.049125,8.165,9.09,9.669583333,9.99,10.17625,10.19958333
2014,11,18,-4.212125,-3.269291667,-1.134625,0.866166667,2.518791667,3.7855,4.956875,6.720458333,7.908041667,8.89625,9.524583333,9.879583333,10.09666667,10.145
2014,11,19,-3.884083333,-2.841666667,-1.00025,0.736291667,2.232375,3.432208333,4.593375,6.389166667,7.640208333,8.696666667,9.376666667,9.768333333,10.01708333,10.07875
2014,11,20,-6.135291667,-4.361041667,-1.666666667,0.332958333,1.92875,3.14625,4.303375,6.152833333,7.447791667,8.564583333,9.28875,9.709583333,9.979166667,10.07541667
2014,11,21,-4.473583333,-3.749916667,-1.880083333,-0.050625,1.538541667,2.797791667,3.987791667,5.827541667,7.15475,8.323333333,9.100833333,9.569166667,9.859583333,9.981666667
2014,11,22,-2.041875,-2.002791667,-1.202333333,0.096083333,1.427041667,2.569916667,3.723291667,5.528916667,6.891208333,8.10475,8.925,9.432916667,9.759166667,9.902083333
2014,11,23,-0.603,-0.728791667,-0.381625,0.56075,1.566125,2.509291667,3.523666667,5.234,6.589375,7.841625,8.7025,9.255,9.6325,9.788333333
2014,11,24,-2.8865,-1.670916667,-0.201166667,0.858625,1.781125,2.5865,3.477083333,5.122541667,6.438333333,7.699791667,8.592916667,9.169583333,9.584166667,9.76625
2014,11,25,-2.833166667,-2.142166667,-0.623333333,0.687583333,1.75125,2.607,3.473125,4.998375,6.25075,7.50175,8.415,9.028333333,9.462916667,9.68375
2014,11,26,-4.190458333,-2.742666667,-0.812375,0.535791667,1.618708333,2.481291667,3.359666667,4.925416667,6.141625,7.364125,8.284166667,8.92125,9.395833333,9.62375
2014,11,27,-6.650791667,-4.896583333,-1.94775,-0.081708333,1.289541667,2.288125,3.228625,4.85125,6.063583333,7.276583333,8.19875,8.8475,9.316666667,9.590833333
2014,11,28,-4.387625,-3.715125,-2.060708333,-0.465041667,0.891875,1.968375,2.992,4.623208333,5.849041667,7.057666667,7.986375,8.653333333,9.159166667,9.447916667
2014,11,29,-3.286958333,-2.808958333,-1.683833333,-0.4605,0.749541667,1.762041667,2.770666667,4.419,5.684041667,6.909541667,7.849875,8.5325,9.04625,9.350833333
2014,11,30,-5.223666667,-3.89875,-1.904708333,-0.529375,0.668,1.628458333,2.607,4.297125,5.58225,6.8295,7.7785,8.466666667,8.997916667,9.320416667
2014,12,1,-7.473958333,-5.679375,-2.740166667,-0.834416667,0.457875,1.463208333,2.451291667,4.161333333,5.439541667,6.699083333,7.660583333,8.360416667,8.912916667,9.26125
2014,12,2,-5.929166667,-4.929333333,-2.816458333,-0.997291667,0.295541667,1.316791667,2.31825,3.986375,5.271375,6.540625,7.51575,8.230833333,8.790833333,9.162083333
2014,12,3,-5.702041667,-4.648208333,-2.698541667,-1.100166667,0.150291667,1.156708333,2.160708333,3.834625,5.136083333,6.41775,7.407583333,8.137833333,8.695833333,9.082916667
2014,12,4,-4.3635,-3.831416667,-2.460375,-1.091625,0.079208333,1.054208333,2.037916667,3.654833333,4.959083333,6.251083333,7.252666667,7.995416667,8.58625,8.99375
2014,12,5,-3.974416667,-3.314416667,-2.1065,-1.028291667,-0.002291667,0.927208333,1.88775,3.505375,4.808541667,6.10875,7.120583333,7.876958333,8.484166667,8.89875
2014,12,6,-4.79375,-3.979833333,-2.382583333,-1.120541667,-0.093041667,0.807458333,1.727875,3.325125,4.611916667,5.916875,6.940333333,7.716791667,8.359166667,8.79125
2014,12,7,-2.045083333,-2.21975,-1.78775,-0.953291667,-0.043708333,0.818875,1.711708333,3.199375,4.475041667,5.780708333,6.817625,7.607625,8.240833333,8.68625
2014,12,8,-2.600541667,-2.001833333,-1.380125,-0.811625,-0.060708333,0.736333333,1.592541667,3.084791667,4.338333333,5.632875,6.675125,7.48325,8.1425,8.592083333
2014,12,9,-4.261208333,-3.417,-1.900875,-0.889666667,-0.076416667,0.706416667,1.532458333,3.012875,4.243583333,5.536458333,6.576375,7.390041667,8.060291667,8.53375
2014,12,10,-2.720958333,-2.498125,-1.725,-0.854625,-0.031458333,0.74225,1.55,2.939166667,4.142875,5.419583333,6.460333333,7.278666667,7.957625,8.444166667
2014,12,11,-1.530833333,-1.634291667,-1.3235,-0.726875,-0.012,0.725,1.509291667,2.855291667,4.037875,5.297791667,6.338166667,7.165416667,7.847916667,8.343333333
2014,12,12,-0.732708333,-0.961875,-0.953583333,-0.579833333,0.048291667,0.745708333,1.497833333,2.796666667,3.957333333,5.200875,6.238375,7.064708333,7.756416667,8.26625
2014,12,13,-0.195166667,-0.554625,-0.6985,-0.463,0.11075,0.7785,1.50425,2.746875,3.879083333,5.102,6.128541667,6.956916667,7.656583333,8.18
2014,12,14,0.75875,-0.052458333,-0.42975,-0.341625,0.204166667,0.837541667,1.526708333,2.702541667,3.802125,5.003791667,6.021916667,6.8525,7.557,8.085416667
2014,12,15,-0.643583333,-0.247083333,-0.293458333,-0.189666667,0.376291667,0.915083333,1.532291667,2.693958333,3.754875,4.931458333,5.940666667,6.773083333,7.485666667,8.018333333
2014,12,16,-4.554666667,-2.533458333,-0.651958333,0.137708333,0.704291667,1.148791667,1.669083333,2.760041667,3.751583333,4.886416667,5.878791667,6.700958333,7.426791667,7.96675
2014,12,17,-6.452791667,-4.6645,-1.816375,-0.347416667,0.54825,1.176625,1.785291667,2.877125,3.823125,4.908541667,5.87875,6.682083333,7.406166667,7.96125
2014,12,18,-6.248041667,-5.047875,-2.557916667,-0.727666667,0.215333333,0.934916667,1.625083333,2.79325,3.73725,4.798625,5.741625,6.54775,7.255208333,7.818541667
2014,12,19,-3.273958333,-3.105166667,-2.088083333,-0.82075,0.098208333,0.814625,1.525791667,2.696,3.671041667,4.728416667,5.657041667,6.452791667,7.158541667,7.725625
2014,12,20,-1.755125,-1.820083333,-1.449166667,-0.716708333,0.040666667,0.722125,1.428458333,2.598458333,3.59575,4.662958333,5.587708333,6.376291667,7.078916667,7.641708333
2014,12,21,-1.061166667,-1.242083333,-1.096625,-0.603333333,0.041041667,0.676875,1.354166667,2.507958333,3.514583333,4.58975,5.515125,6.297916667,6.998583333,7.564416667
2014,12,22,-0.2575,-0.659125,-0.790333333,-0.478083333,0.09325,0.693458333,1.345208333,2.443875,3.434125,4.507916667,5.43,6.212041667,6.921416667,7.488625
2014,12,23,-0.104791667,-0.383375,-0.582958333,-0.399958333,0.119041667,0.686333333,1.305166667,2.395708333,3.380375,4.454166667,5.378208333,6.160458333,6.858666667,7.425375
2014,12,24,-0.122583333,-0.269583333,-0.410208333,-0.332,0.197541667,0.725666667,1.316,2.370916667,3.330458333,4.3915,5.313291667,6.095791667,6.796541667,7.36525
2014,12,25,-0.409708333,-0.263,-0.132375,0.12275,0.539333333,0.942666667,1.432166667,2.388041667,3.303041667,4.34025,5.254708333,6.033125,6.735041667,7.307541667
2014,12,26,-1.852041667,-0.910833333,-0.108083333,0.3945,0.78875,1.141041667,1.564125,2.444708333,3.28875,4.284541667,5.183291667,5.958458333,6.671833333,7.242625
2014,12,27,-5.024625,-3.500041667,-1.131041667,-0.018708333,0.684875,1.1635,1.63775,2.532208333,3.335875,4.287291667,5.163041667,5.922833333,6.6435,7.223208333
2014,12,28,-7.110791667,-5.074791667,-2.064083333,-0.478166667,0.364041667,0.982708333,1.585875,2.600583333,3.415166667,4.331291667,5.192333333,5.933625,6.655375,7.220625
2014,12,29,-11.2175,-8.60025,-4.057958333,-1.108375,0.024375,0.724708333,1.388208333,2.545916667,3.397125,4.317791667,5.15475,5.887666667,6.587666667,7.163958333
2014,12,30,-12.13625,-9.774583333,-5.340125,-2.028041667,-0.3065,0.486333333,1.209583333,2.434541667,3.325,4.258416667,5.09125,5.813666667,6.515208333,7.088833333
2014,12,31,-9.750916667,-8.455541667,-5.395,-2.608791667,-0.546583333,0.29825,1.067625,2.305416667,3.242708333,4.204333333,5.044291667,5.767458333,6.443333333,7.024125
2015,1,1,-5.97675,-5.392625,-3.940458333,-2.351,-0.8015,0.092125,0.8665,2.112416667,3.083583333,4.073458333,4.918791667,5.64325,6.342416667,6.909333333
2015,1,2,-5.213625,-4.942541667,-3.6665,-2.231458333,-0.930708333,-0.038541667,0.726166667,1.978166667,2.984666667,4.010916667,4.872208333,5.599083333,6.290916667,6.87075
2015,1,3,-6.06125,-4.786291667,-3.089541667,-1.98275,-0.994208333,-0.193166667,0.553958333,1.869,2.895875,3.940291667,4.819875,5.5565,6.264625,6.820583333
2015,1,4,-10.03208333,-7.981166667,-4.655666667,-2.566208333,-1.189291667,-0.315875,0.432291667,1.820333333,2.863208333,3.932958333,4.82825,5.569041667,6.249291667,6.821208333
2015,1,5,-10.79291667,-8.990833333,-5.657041667,-3.227375,-1.514625,-0.430416667,0.322791667,1.686083333,2.723875,3.802041667,4.707,5.460708333,6.161583333,6.734916667
2015,1,6,-10.51208333,-8.869833333,-5.842916667,-3.55325,-1.80125,-0.521458333,0.254833333,1.605791667,2.647416667,3.731458333,4.647833333,5.406958333,6.112666667,6.689041667
2015,1,7,-11.21083333,-9.468333333,-6.247041667,-3.870041667,-2.060833333,-0.677791667,0.173666667,1.555375,2.614916667,3.707958333,4.633541667,5.394458333,6.092625,6.680541667
2015,1,8,-9.098875,-8.073833333,-5.862041667,-3.923708333,-2.285875,-0.899083333,0.024458333,1.382875,2.443791667,3.548916667,4.4815,5.259708333,5.97,6.56175
2015,1,9,-10.04333333,-8.571208333,-5.884125,-3.916083333,-2.356208333,-1.052,-0.057666667,1.341375,2.426125,3.539,4.48525,5.258666667,5.968541667,6.560708333
2015,1,10,-10.495,-9.059958333,-6.2995,-4.2025,-2.559041667,-1.2205,-0.160958333,1.25575,2.34675,3.472208333,4.422875,5.207875,5.917958333,6.521458333
2015,1,11,-9.367416667,-8.306541667,-6.094041667,-4.259875,-2.726625,-1.416791667,-0.292333333,1.110166667,2.205666667,3.339,4.297333333,5.090958333,5.8285,6.430125
2015,1,12,-10.80833333,-9.259166667,-6.436916667,-4.40725,-2.844333333,-1.552583333,-0.375541667,1.083041667,2.193625,3.337458333,4.303416667,5.098291667,5.81725,6.433333333
2015,1,13,-10.70375,-9.495416667,-6.892666667,-4.777833333,-3.110375,-1.746958333,-0.504166667,0.930875,2.036041667,3.187458333,4.163041667,4.9765,5.707125,6.3295
2015,1,14,-7.9795,-7.484333333,-6.028333333,-4.529541667,-3.14325,-1.872791667,-0.625166667,0.792291667,1.901,3.057583333,4.0405,4.858333333,5.609291667,6.234333333
2015,1,15,-5.159208333,-5.115708333,-4.56475,-3.726291667,-2.758625,-1.764208333,-0.658416667,0.729375,1.847916667,3.003291667,3.997291667,4.816375,5.566625,6.194583333
2015,1,16,-4.230708333,-4.125166667,-3.701291667,-3.124708333,-2.431375,-1.66275,-0.757791667,0.605416667,1.715083333,2.87925,3.877166667,4.70875,5.46975,6.098291667
2015,1,17,-2.492041667,-2.807875,-2.908875,-2.590416667,-2.065208333,-1.449083333,-0.688666667,0.561041667,1.655291667,2.817791667,3.820166667,4.647458333,5.425291667,6.061875
2015,1,18,-3.189,-2.941875,-2.591708333,-2.257666667,-1.824,-1.310666667,-0.654666667,0.558833333,1.643083333,2.804166667,3.807041667,4.638625,5.390625,6.043208333
2015,1,19,-2.06075,-2.318208333,-2.301041667,-2.024083333,-1.635083333,-1.185125,-0.614083333,0.500375,1.562666667,2.719,3.721625,4.562625,5.309166667,5.967541667
2015,1,20,-1.12525,-1.384541667,-1.751375,-1.738458333,-1.491458333,-1.128083333,-0.634916667,0.406041667,1.440875,2.580708333,3.582083333,4.431291667,5.20725,5.859
2015,1,21,-2.687791667,-2.202125,-1.785791667,-1.616208333,-1.384625,-1.081666667,-0.642916667,0.394875,1.404625,2.525041667,3.521541667,4.371625,5.162083333,5.811166667
2015,1,22,-4.093666667,-3.586,-2.471875,-1.767666667,-1.326541667,-0.976708333,-0.55825,0.427166667,1.41975,2.526416667,3.511916667,4.349375,5.135791667,5.808708333
2015,1,23,-1.302375,-1.66975,-1.805666667,-1.409,-1.20475,-0.895041667,-0.472625,0.427041667,1.401375,2.486625,3.470583333,4.305208333,5.071,5.745208333
2015,1,24,-1.002666667,-1.113416667,-1.253166667,-1.210833333,-1.086125,-0.865125,-0.508333333,0.370083333,1.316541667,2.388041667,3.360083333,4.2015,4.977,5.647625
2015,1,25,-1.641583333,-1.380625,-1.234583333,-1.162,-1.025416667,-0.810666667,-0.476458333,0.401208333,1.337083333,2.395875,3.358333333,4.194208333,4.95175,5.631416667
2015,1,26,-1.271416667,-1.345791667,-1.250791667,-1.114458333,-0.95475,-0.746083333,-0.438,0.372208333,1.284916667,2.324875,3.274166667,4.101041667,4.878083333,5.557291667
2015,1,27,-1.081291667,-1.131791667,-1.14725,-1.076791667,-0.934791667,-0.74175,-0.45175,0.341791667,1.233458333,2.255875,3.195291667,4.019083333,4.80425,5.481041667
2015,1,28,-0.397625,-0.689708333,-0.960041667,-0.978791667,-0.86275,-0.686875,-0.415166667,0.342375,1.209625,2.212833333,3.140083333,3.959791667,4.7365,5.41175
2015,1,29,-2.822916667,-1.814458333,-1.125333333,-0.995625,-0.876375,-0.718,-0.456291667,0.344166667,1.20325,2.189208333,3.106541667,3.917833333,4.714541667,5.378375
2015,1,30,-4.564333333,-3.762875,-2.140458333,-1.267916667,-0.906958333,-0.682875,-0.416458333,0.374958333,1.228125,2.201958333,3.104958333,3.902541667,4.690291667,5.37
2015,1,31,-5.572125,-4.325458333,-2.590833333,-1.622208333,-1.0945,-0.757291667,-0.450958333,0.362041667,1.199041667,2.156416667,3.055625,3.854541667,4.628041667,5.295666667
2015,2,1,-9.788541667,-7.749958333,-4.430375,-2.442208333,-1.441666667,-0.891166667,-0.497,0.4005,1.229583333,2.1755,3.057833333,3.843875,4.618375,5.2935
2015,2,2,-9.379833333,-8.1315,-5.524083333,-3.434875,-2.035958333,-1.113333333,-0.519166667,0.3945,1.217708333,2.150166667,3.02275,3.797416667,4.567625,5.244208333
2015,2,3,-7.743041667,-6.994333333,-5.267166667,-3.715958333,-2.477208333,-1.455291667,-0.657666667,0.346125,1.164041667,2.091083333,2.956541667,3.73375,4.490833333,5.162625
2015,2,4,-7.5865,-6.631791667,-4.94925,-3.655291667,-2.599583333,-1.656041667,-0.788291667,0.354083333,1.187166667,2.108958333,2.968791667,3.733833333,4.484208333,5.151458333
2015,2,5,-7.651625,-6.998791667,-5.369458333,-3.912458333,-2.754125,-1.75975,-0.850541667,0.3205,1.162916667,2.084125,2.937333333,3.693666667,4.445041667,5.1165
2015,2,6,-4.570333333,-4.665916667,-4.286458333,-3.526958333,-2.670375,-1.791291667,-0.892958333,0.268833333,1.1145,2.034625,2.883416667,3.633833333,4.384333333,5.054791667
2015,2,7,-3.303583333,-3.446208333,-3.328291667,-2.922125,-2.354916667,-1.693125,-0.934541667,0.201625,1.046125,1.968791667,2.815291667,3.56575,4.32625,4.98625
2015,2,8,-4.305958333,-3.739458333,-3.034208333,-2.584875,-2.128,-1.598083333,-0.962916667,0.14275,0.988291667,1.914875,2.764125,3.524916667,4.264875,4.919666667
2015,2,9,-5.002291667,-4.515291667,-3.495833333,-2.702875,-2.091583333,-1.531583333,-0.939541667,0.11725,0.961916667,1.892208333,2.741083333,3.495541667,4.233666667,4.89375
2015,2,10,-3.399875,-3.35125,-3.00025,-2.522583333,-2.015083333,-1.486375,-0.911541667,0.074791667,0.907833333,1.833458333,2.682333333,3.438041667,4.181,4.831541667
2015,2,11,-5.064458333,-4.199666667,-3.070333333,-2.450208333,-1.957208333,-1.480166667,-0.93425,0.115791667,0.953,1.876416667,2.723833333,3.471541667,4.198416667,4.8485
2015,2,12,-8.96975,-7.428416667,-4.756833333,-3.148625,-2.229666667,-1.577541667,-0.990916667,0.081458333,0.90925,1.825166667,2.668583333,3.408416667,4.164875,4.8225
2015,2,13,-6.393166667,-5.840666667,-4.556958333,-3.4105,-2.490375,-1.708416667,-0.998708333,0.06325,0.890625,1.805166667,2.648708333,3.397,4.112625,4.769541667
2015,2,14,-8.714583333,-7.329166667,-5.045333333,-3.617541667,-2.660291667,-1.876458333,-1.136208333,0.060666667,0.885,1.792916667,2.628958333,3.373333333,4.10075,4.750458333
2015,2,15,-8.048583333,-7.2505,-5.480791667,-4.030166667,-2.938166667,-2.030541667,-1.219166667,-0.014291667,0.810083333,1.715041667,2.549208333,3.294375,4.022958333,4.677666667
2015,2,16,-6.472791667,-5.982875,-4.873666667,-3.849375,-2.943958333,-2.086166667,-1.253666667,-0.008041667,0.82125,1.725833333,2.559333333,3.300625,4.004208333,4.655291667
2015,2,17,-8.739416667,-7.451333333,-5.32375,-3.958333333,-2.995833333,-2.170666667,-1.365458333,-0.035416667,0.795541667,1.695125,2.525416667,3.260916667,3.983666667,4.629458333
2015,2,18,-11.43833333,-9.69,-6.653791667,-4.663708333,-3.360458333,-2.346458333,-1.455333333,-0.045583333,0.793875,1.693833333,2.515583333,3.245791667,3.971041667,4.621583333
2015,2,19,-11.79791667,-10.45458333,-7.604375,-5.410875,-3.85475,-2.620666667,-1.579833333,-0.079666667,0.768541667,1.675541667,2.498041667,3.229,3.930666667,4.591708333
2015,2,20,-7.237666667,-7.004916667,-6.115375,-5.012458333,-3.904166667,-2.814916667,-1.748958333,-0.210041667,0.641833333,1.542791667,2.371416667,3.104041667,3.832875,4.477416667
2015,2,21,-8.804291667,-7.661708333,-5.841291667,-4.631375,-3.677291667,-2.777666667,-1.841708333,-0.2075,0.654708333,1.560416667,2.382583333,3.112958333,3.834125,4.475625
2015,2,22,-12.59666667,-10.70791667,-7.479208333,-5.399625,-4.023291667,-2.92575,-1.9285,-0.211791667,0.664375,1.580041667,2.404375,3.13125,3.837666667,4.488458333
2015,2,23,-11.09141667,-10.251875,-8.01525,-6.037375,-4.501208333,-3.213083333,-2.076541667,-0.335625,0.569208333,1.489666667,2.31725,3.047416667,3.764791667,4.421958333
2015,2,24,-6.297583333,-6.183958333,-5.7535,-5.059708333,-4.186083333,-3.214875,-2.174208333,-0.420666667,0.515875,1.4395,2.273875,3.008125,3.7135,4.35725
2015,2,25,-8.396291667,-7.408541667,-5.794833333,-4.719,-3.869,-3.061958333,-2.190458333,-0.504416667,0.468208333,1.396958333,2.230416667,2.961583333,3.689166667,4.325
2015,2,26,-11.18333333,-9.74,-7.128083333,-5.355375,-4.136,-3.141916667,-2.211375,-0.52725,0.47075,1.405375,2.243291667,2.971041667,3.685875,4.3355
2015,2,27,-10.98420833,-9.878791667,-7.620708333,-5.8705,-4.538208333,-3.401416667,-2.349375,-0.603666667,0.4255,1.364333333,2.2005,2.926041667,3.647333333,4.297375
2015,2,28,-8.701583333,-8.23075,-6.9465,-5.694791667,-4.57975,-3.525708333,-2.4825,-0.733708333,0.331541667,1.274541667,2.119958333,2.855916667,3.5785,4.225458333
2015,3,1,-8.465708333,-7.752541667,-6.389333333,-5.313916667,-4.382333333,-3.487875,-2.547458333,-0.83,0.274375,1.218833333,2.066583333,2.80325,3.538583333,4.180375
2015,3,2,-7.69725,-7.3085,-6.184875,-5.143125,-4.233083333,-3.371666667,-2.483791667,-0.867208333,0.266333333,1.216208333,2.06375,2.800166667,3.518,4.174125
2015,3,3,-5.764083333,-5.3935,-4.885791667,-4.433666667,-3.871541667,-3.223833333,-2.459375,-0.944666667,0.189041667,1.140291667,1.995333333,2.740791667,3.465083333,4.104875
